id	advert_id	domain	developer	address	gp	description	entrance_number	floor	area	room_count	flat_number	price	published_at	actualized_at
474b76af-f05e-42c6-9e7f-4d1beadae5d1	320038	t-dsk.ru	ТДСК	ул. Александра Пушкина д.3, (ГП-7.7), подъезд 1, квартира №33	ГП-7	1-комнатная квартира на ул. Александра Пушкина дом 3 (ГП-7.7) 1 подъезд	1	7	39.7	1	33	4100000	2023-04-21 12:31:18.459000+00:00	2024-02-12 08:38:32.453000+00:00
0cdcd1bf-3d0a-4e6d-bb8a-6d3464d97093	320838	t-dsk.ru	ТДСК	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 2, квартира №134	ГП-7	1-комнатная квартира на ул. Александра Пушкина, д.3, к.1 ГП-7.11 2 подъезд	2	13	41.1	1	134	3950000	2023-08-27 21:08:14.915000+00:00	2024-02-26 19:48:11.631000+00:00
21e4601d-0b5e-4172-bb4d-fe616167a445	320548	t-dsk.ru	ТДСК	ул. Валентины Трофимовой, д. 8, подъезд 1, квартира №79		1-комнатная квартира на ул. Валентины Трофимовой, дом 8 1 подъезд	1	17	39.8	1	79	4600000	2023-06-19 12:57:53.605000+00:00	2023-08-02 11:43:33.609000+00:00
15adc8ce-010f-4965-93ce-457b35295f60	320891	t-dsk.ru	ТДСК	ул. Александра Пушкина, д. 3, к.1 (ГП-7.11), подъезд 3, квартира №187	ГП-7.11	2-комнатная квартира на ул. Александра Пушкина, д.3, к.1 ГП-7.11 3 подъезд	3	13	67.5	2	187	5800000	2023-08-27 12:11:47.600000+00:00	2024-05-14 04:05:31.924000+00:00
c8e054d4-7350-43ee-b296-6b818658acb2	320565	t-dsk.ru	ТДСК	ул. Валентины Трофимовой, д. 8, подъезд 2, квартира №96		3-комнатная квартира на ул. Валентины Трофимовой, дом 8 2 подъезд	2	4	68.5	3	96	7600000	2023-06-19 12:56:05.112000+00:00	2024-02-26 19:48:11.631000+00:00
22260f74-4a1c-4dd4-b9c6-9f33f3d02eb5	321581	t-dsk.ru	ТДСК	ул. Федора Достоевского, д.  26, (ГП-7.1), подъезд 1, квартира №14	ГП-7	1-комнатная квартира на ул. Федора Достоевского, 26 (ГП-7.1) 1 подъезд	1	4	40.1	1	14	4400000	2023-10-06 12:53:40.444000+00:00	2023-10-26 15:16:07.485000+00:00
85d218c4-ec62-4e9c-be39-bfdd983d49c1	321922	t-dsk.ru	ТДСК	ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №31	ГП-5	1-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд	1	7	39.0	1	31	4950000	2023-11-02 08:11:43.170000+00:00	2024-02-14 14:19:56.824000+00:00
6069165d-d7ad-47c5-b35c-3bbe07965d75	320148	t-dsk.ru	ТДСК	ул. Александра Пушкина д.3, (ГП-7.7), подъезд 2, квартира №143	ГП-7	1-комнатная квартира на ул. Александра Пушкина дом 3 (ГП-7.7) 2 подъезд	2	13	39.6	1	143	3800000	2023-04-21 12:31:18.790000+00:00	2023-08-28 14:59:22.760000+00:00
54c539c5-a7ea-4c7b-9f61-72fe82fe4a7c	321326	t-dsk.ru	ТДСК	ул. Монтажников, д.  42а, (ГП-5.11), подъезд 2, квартира №108	ГП-5	1-комнатная квартира на  ул. Монтажников, 42а (ГП-5.11) 2 подъезд	2	6	39.6	1	108	4500000	2023-08-27 12:12:40.283000+00:00	2023-10-23 06:52:24.065000+00:00
f04d66b3-c309-4963-955d-fcbba9935923	321439	t-dsk.ru	ТДСК	ул. Монтажников, д.  42а, (ГП-5.11), подъезд 3, квартира №221	ГП-5	1-комнатная квартира на  ул. Монтажников, 42а (ГП-5.11) 3 подъезд	3	15	39.7	1	221	4500000	2023-08-27 12:12:36.451000+00:00	2024-02-02 15:41:55.892000+00:00
4a0b6670-5b32-4034-b6bb-b8c07953547e	322278	t-dsk.ru	ТДСК	ул. Александра Пушкина, д. 5, (ГП-7.6), подъезд 2, квартира №75	ГП-7	3-комнатная квартира на ул. Александра Пушкина, д.5, ГП-7.6 2 подъезд	2	8	83.2	3	75	5900000	2023-12-06 07:45:12.051000+00:00	2023-12-21 10:40:01.285000+00:00
6f491f75-da4e-4287-ace9-d3d6f87f3eac	251661	t-dsk.ru	ТДСК	ул. Валентины Трофимовой, д. 12, подъезд 1, квартира №78		3-комнатная квартира на ул. Валентины Трофимовой, дом 12 1 подъезд	1	14	86.7	3	78	7250000	2023-03-13 05:11:14.103000+00:00	2023-08-31 14:26:20.098000+00:00
5aa552a4-2bfa-4acd-8da2-08db2fa150d5	320618	t-dsk.ru	ТДСК	ул. Валентины Трофимовой, д. 8, подъезд 2, квартира №148		1-комнатная квартира на ул. Валентины Трофимовой, дом 8 2 подъезд	2	14	40.1	1	148	4600000	2023-06-19 12:57:50.397000+00:00	2023-07-04 18:36:00.032000+00:00
7e2ddd11-f7bd-44f3-82da-ad37ab1f96d2	322518	t-dsk.ru	ТДСК	ул. Монтажников, 42б. (ГП-6.1), подъезд 1, квартира №23	ГП-6	1-комнатная квартира на ул. Монтажников, 42б. ГП-6.1 1 подъезд	1	5	39.7	1	23	4350000	2023-12-15 18:52:50.979000+00:00	2024-01-31 00:56:02.810000+00:00
1c969e71-76e6-472a-9771-c15ebb9da538	321016	t-dsk.ru	ТДСК	ул. Монтажников, д.  42, (ГП-5.10), подъезд 1, квартира №22	ГП-5	1-комнатная квартира на  ул. Монтажников, 42 (ГП-5.10) 1 подъезд	1	5	37.2	1	22	4350000	2023-08-27 12:12:33.088000+00:00	2023-12-19 12:27:01.336000+00:00
f3def8af-0777-4078-8ef2-f941dababb2e	99557	t-dsk.ru	ТДСК	ул. Монтажников 36, (ГП-4.7), подъезд 1, квартира №56	ГП-4	2-комнатная квартира на улица Монтажников 36, ГП-4.7 1 подъезд	1	8	65.4	2	56	6500000	2023-03-13 05:11:35.884000+00:00	2023-08-10 15:43:52.038000+00:00
9d812fb9-3e1f-4ef5-ae2a-f7859fc3f9a0	322540	t-dsk.ru	ТДСК	ул. Монтажников, 42б. (ГП-6.1), подъезд 1, квартира №45	ГП-6	1-комнатная квартира на ул. Монтажников, 42б. ГП-6.1 1 подъезд	1	9	39.6	1	45	4350000	2023-12-15 18:52:50.890000+00:00	2024-02-21 14:31:27.295000+00:00
367cd350-18dd-45e9-87ea-cdef31621758	321896	t-dsk.ru	ТДСК	ул. Константина Посьета, д.  4к1, (ГП-5.2), подъезд 1, квартира №5	ГП-5	3-комнатная квартира на ул. Константина Посьета, 4к1 (ГП-5.2) 1 подъезд	1	2	69.7	3	5	7500000	2023-11-02 08:08:27.110000+00:00	2023-11-27 18:17:01.812000+00:00
5d2b4703-0e87-4858-a13d-b045b52a010b	321755	t-dsk.ru	ТДСК	ул. Федора Достоевского, д.  26, (ГП-7.1), подъезд 3, квартира №188	ГП-7	1-комнатная квартира на ул. Федора Достоевского, 26 (ГП-7.1) 3 подъезд	3	5	26.9	1	188	3500000	2023-10-06 12:52:39.964000+00:00	2023-11-24 09:54:05.547000+00:00
184ab318-a5c9-444c-bd2f-977198dc012d	320218	t-dsk.ru	ТДСК	ул. Монтажников, д. 40, подъезд 1, квартира №18		3-комнатная квартира на ул. Монтажников, дом 40 1 подъезд	1	4	86.5	3	18	7350000	2023-06-01 05:38:30.253000+00:00	2023-08-22 15:28:34.055000+00:00
184750e8-69cb-4bb5-888b-24aa3986c763	322340	t-dsk.ru	ТДСК	ул. Александра Пушкина, д. 5, (ГП-7.6), подъезд 3, квартира №137	ГП-7	1-комнатная квартира на ул. Александра Пушкина, д.5, ГП-7.6 3 подъезд	3	11	40.8	1	137	3950000	2023-12-06 07:46:51.267000+00:00	2024-03-29 02:18:43.742000+00:00
